tracking_number,payment_type,pickup_datetime_ist,delivery_datetime_ist,days_taken,shipment_weight_kg,pickup_pincode,pickup_city,pickup_state,drop_pincode,drop_city,drop_state,out_for_delivery_datetimes,delivery_attempts
391128701026,COD,2020-03-16 15:44:00+05:30,2020-03-20 13:37:00+05:30,3,14.0,560048,Bangalore,KA,122001,Gurgaon,HR,2020-03-20 10:16:00 IST,2
390901883808,PREPAID,2020-03-06 16:07:00+05:30,2020-03-09 19:50:00+05:30,3,14.0,560048,Bangalore,KA,560034,Bangalore,KA,2020-03-09 10:50:00 IST;2020-03-09 10:25:00 IST,3
391128749178,PREPAID,2020-03-16 15:44:00+05:30,2020-03-19 15:29:00+05:30,2,14.0,560048,Bangalore,KA,380028,Ahmedabad,GJ,2020-03-19 12:30:00 IST,2
390807986805,PREPAID,2020-03-03 16:19:00+05:30,2020-03-07 14:24:00+05:30,3,14.0,560048,Bangalore,KA,110088,New Delhi,DL,2020-03-07 10:27:00 IST,2
390948921190,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,2020-03-13 09:32:00 IST,2
390950106897,PREPAID,2020-03-09 15:12:00+05:30,2020-03-12 16:00:00+05:30,3,14.0,560048,Bangalore,KA,400053,Mumbai,MH,,1
391128762808,PREPAID,2020-03-16 15:44:00+05:30,2020-03-18 12:09:00+05:30,1,14.0,560048,Bangalore,KA,400052,Mumbai,MH,,1
390807994538,PREPAID,2020-03-03 16:19:00+05:30,2020-03-07 15:19:00+05:30,3,14.0,560048,Bangalore,KA,110087,New Delhi,DL,2020-03-07 10:23:00 IST,2
390950134073,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,2020-03-13 09:32:00 IST,2
390950572730,PREPAID,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,1,28.0,560048,Bangalore,KA,560038,Bangalore,KA,2020-03-10 09:45:00 IST,2
390839041400,COD,2020-03-04 16:13:00+05:30,2020-03-09 14:45:00+05:30,4,14.0,560048,Bangalore,KA,110027,Delhi,DL,2020-03-09 10:07:00 IST,2
390807999654,PREPAID,2020-03-03 16:19:00+05:30,2020-03-12 13:00:00+05:30,8,14.0,560048,Bangalore,KA,827001,Bokaro steel City,JH,2020-03-12 11:23:00 IST,2
390767871261,PREPAID,2020-03-02 16:23:00+05:30,2020-03-11 18:30:00+05:30,9,14.0,560048,Bangalore,KA,122001,Gurugram,HR,2020-03-07 10:18:00 IST,2
